"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"47","0","$362","","2022-03-09 20:40:52","1899-12-30 00:00:00","2022-03-10 05:54:51","$4146","Ready for automatic operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_AutoReady","20000607","24","6","1","False","","2022-03-09 17:40:52"
"149","4","$352","","2022-03-10 05:54:51","1899-12-30 00:00:00","1899-12-30 00:00:00","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","2","False","","2022-03-10 02:54:51"
"149","0","$354","","2022-03-10 05:54:51","1899-12-30 00:00:00","2022-03-10 05:54:58","$4264","Protective cover flap transfer is open","1","$4258","Flap transfer","650","CP:.VC_MX_500_MS_SHKlappe","20050005","40","4","3","False","","2022-03-10 02:54:51"
"75","4","$352","","2022-03-10 05:55:00","1899-12-30 00:00:00","1899-12-30 00:00:00","$4175","Axes not released, please wait","1","$4171","Main drive","610","CP:.VC_MX_007_MS_WatchEnable","20000704","25","4","4","False","","2022-03-10 02:55:00"
"47","4","$360","","2022-03-10 05:55:02","1899-12-30 00:00:00","1899-12-30 00:00:00","$4146","Ready for automatic operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_AutoReady","20000607","24","6","5","False","","2022-03-10 02:55:02"
"75","0","$354","","2022-03-10 05:55:00","1899-12-30 00:00:00","2022-03-10 05:55:02","$4175","Axes not released, please wait","1","$4171","Main drive","610","CP:.VC_MX_007_MS_WatchEnable","20000704","25","4","6","False","","2022-03-10 02:55:00"
"47","0","$362","","2022-03-10 05:55:02","1899-12-30 00:00:00","2022-03-10 05:56:14","$4146","Ready for automatic operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_AutoReady","20000607","24","6","7","False","","2022-03-10 02:55:02"
"57","4","$360","","2022-03-10 05:56:14","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4138","Operation","310","CP:.VC_MX_006_MH_CombiReady","20000617","24","6","8","False","","2022-03-10 02:56:14"
"157","4","$356","","2022-03-10 05:56:14","1899-12-30 00:00:00","1899-12-30 00:00:00","$4274","Tubefiller is not ready","1","$4271","Combination","430","CP:.VC_MX_704_MW_TFSNotReady","20070406","42","5","9","False","","2022-03-10 02:56:14"
"157","0","$358","","2022-03-10 05:56:14","1899-12-30 00:00:00","2022-03-10 05:56:17","$4274","Tubefiller is not ready","1","$4271","Combination","430","CP:.VC_MX_704_MW_TFSNotReady","20070406","42","5","10","False","","2022-03-10 02:56:14"
