"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"50","0","$362","","2022-03-03 20:40:34","1899-12-30 00:00:00","2022-03-04 05:47:06","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","1","False","","2022-03-03 17:40:34"
"152","4","$356","","2022-03-04 05:47:06","1899-12-30 00:00:00","1899-12-30 00:00:00","$4269","Hot-Air heating up","1","$4256","Hot-Air","430","TFS:.VC_MX_054_MW_HotAirAufheizen","30005413","42","5","2","False","","2022-03-04 02:47:06"
"50","4","$360","","2022-03-04 05:49:55","1899-12-30 00:00:00","1899-12-30 00:00:00","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","3","False","","2022-03-04 02:49:55"
"152","0","$358","","2022-03-04 05:47:06","1899-12-30 00:00:00","2022-03-04 05:49:55","$4269","Hot-Air heating up","1","$4256","Hot-Air","430","TFS:.VC_MX_054_MW_HotAirAufheizen","30005413","42","5","4","False","","2022-03-04 02:47:06"
"50","0","$362","","2022-03-04 05:49:55","1899-12-30 00:00:00","2022-03-04 05:56:18","$4149","Ready for automatic operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_AutoBereit","30000600","24","6","5","False","","2022-03-04 02:49:55"
"57","4","$360","","2022-03-04 05:56:18","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","6","False","","2022-03-04 02:56:18"
"57","0","$362","","2022-03-04 05:56:18","1899-12-30 00:00:00","2022-03-04 05:56:18","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","7","False","","2022-03-04 02:56:18"
"175","4","$356","","2022-03-04 05:56:18","1899-12-30 00:00:00","1899-12-30 00:00:00","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","8","False","","2022-03-04 02:56:18"
"176","4","$356","","2022-03-04 05:56:22","1899-12-30 00:00:00","1899-12-30 00:00:00","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","9","False","","2022-03-04 02:56:22"
"57","4","$360","","2022-03-04 05:56:23","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","10","False","","2022-03-04 02:56:23"
"175","0","$358","","2022-03-04 05:56:18","1899-12-30 00:00:00","2022-03-04 05:56:23","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","11","False","","2022-03-04 02:56:18"
